Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Servicio de Administración Tributaria,Central goverment,,34419490452,Mexico,MEX,2017,1/1/2017,12/31/2017
Fondo Mexicano del Petróleo,Central government,FMP140930MW3,548675000000,Mexico,MEX,2018,1/1/2018,12/31/2018
Non-disaggregated revenue flows,Central government,,,Mexico,MEX,2018,1/1/2018,12/31/2018
Servicio de Administración Tributaria,Central government,SAT970701NN3,46912800000,Mexico,MEX,2018,1/1/2018,12/31/2018
General Department of Taxation,State government,6097898,1811753990000,Mongolia,MNG,2018,1/1/2018,12/31/2018
Mineral Resources and Petroleum Authority,State government,5323533,282788326000,Mongolia,MNG,2018,1/1/2018,12/31/2018
Mongolian Customs General Administration,State government,6097863,247505544000,Mongolia,MNG,2018,1/1/2018,12/31/2018
General Agency for Health and Social Insurance,State government,9081739,205917599000,Mongolia,MNG,2018,1/1/2018,12/31/2018
Local administrative,Local government,,67057991000,Mongolia,MNG,2018,1/1/2018,12/31/2018
Local governor department,Local government,,86132915000,Mongolia,MNG,2018,1/1/2018,12/31/2018
"Ministry of Environment, Nature and Tourism",State government,9085084,531930000,Mongolia,MNG,2018,1/1/2018,12/31/2018
General Agency for Labor Welfare Services,State government,,13761855000,Mongolia,MNG,2018,1/1/2018,12/31/2018
Government agency for policy coordination on state property,State government,6098169,35287247000,Mongolia,MNG,2018,1/1/2018,12/31/2018
Ministry of Finance,State government,9131787,,Mongolia,MNG,2018,1/1/2018,12/31/2018
State administrative body,State government,,22945310000,Mongolia,MNG,2018,1/1/2018,12/31/2018
Other,State government,,87964991587,Mongolia,MNG,2018,1/1/2018,12/31/2018
Customs General Administration,State-owned enterprises & public corporations,N/A,317521119815.58,Mongolia,MNG,2019,1/1/2019,12/31/2019
Donations and supports received by government entities,Other,N/A,34545143528.6,Mongolia,MNG,2019,1/1/2019,12/31/2019
General Department of Taxation,State government,N/A,2477732212693.06,Mongolia,MNG,2019,1/1/2019,12/31/2019
Mineral Resources and Petroleum Authority of Mongolia,State government,N/A,314711389427.2,Mongolia,MNG,2019,1/1/2019,12/31/2019
Ministry of Environment and Tourism,Central goverment,N/A,1466557207.74,Mongolia,MNG,2019,1/1/2019,12/31/2019
Ministry of Finance,Central goverment,N/A,152939883876.28,Mongolia,MNG,2019,1/1/2019,12/31/2019
Ministry of Labor and Social Protection,Central goverment,N/A,21533255508.67,Mongolia,MNG,2019,1/1/2019,12/31/2019
Other,Other,N/A,51191621914.04,Mongolia,MNG,2019,1/1/2019,12/31/2019
Social Insurance General Office,State government,N/A,290944218121.55,Mongolia,MNG,2019,1/1/2019,12/31/2019
Subnational level,Local government,N/A,135862946414.38,Mongolia,MNG,2019,1/1/2019,12/31/2019
Ministry of Finance,Central goverment,Not applicable,1803708000,Suriname,SUR,2017,2017/01/01,2017/12/31
General Department of Taxation,State government,N/A,2136383403371.48,Mongolia,MNG,2020,1/1/2020,12/31/2020
Mineral Resources and Petroleum Authority of Mongolia,State government,N/A,139067763633.49,Mongolia,MNG,2020,1/1/2020,12/31/2020
Social Insurance General Office,State government,N/A,310650928295.27,Mongolia,MNG,2020,1/1/2020,12/31/2020
Customs General Administration,State-owned enterprises & public corporations,N/A,268344475114.61,Mongolia,MNG,2020,1/1/2020,12/31/2020
Ministry of Finance,Central goverment,N/A,155040000000,Mongolia,MNG,2020,1/1/2020,12/31/2020
Subnational level,Local government,N/A,146920384182.49,Mongolia,MNG,2020,1/1/2020,12/31/2020
Other,Other,N/A,56774248093.17,Mongolia,MNG,2020,1/1/2020,12/31/2020
Ministry of Labor and Social Protection,Central goverment,N/A,9935697521,Mongolia,MNG,2020,1/1/2020,12/31/2020
Tanzania Revenue Authority,Central goverment,,276636850522.79,Tanzania,TZA,2018,2017/07/01,2018/06/30
Ministry of Minerals,Central goverment,,390714184971.94,Tanzania,TZA,2018,2017/07/01,2018/06/30
Tanzania Petroleum Development Corporation (TPDC),State-owned enterprises & public corporations,,121844967191.84,Tanzania,TZA,2018,2017/07/01,2018/06/30
Geita Town Council,Local government,,3716057848.01,Tanzania,TZA,2018,2017/07/01,2018/06/30
Kishapu District Council,Local government,,369685528,Tanzania,TZA,2018,2017/07/01,2018/06/30
Kahama Town Council,Local government,,1379904933.28,Tanzania,TZA,2018,2017/07/01,2018/06/30
Mtwara District Council,Local government,,600082869.01,Tanzania,TZA,2018,2017/07/01,2018/06/30
Kinondoni Municipal Council,Local government,,47674874,Tanzania,TZA,2018,2017/07/01,2018/06/30
Songwe District Council,Local government,,809646827.82,Tanzania,TZA,2018,2017/07/01,2018/06/30
Mbinga District Council,Local government,,209668121.9,Tanzania,TZA,2018,2017/07/01,2018/06/30
Msalala District Council,Local government,,472528660.16,Tanzania,TZA,2018,2017/07/01,2018/06/30
Tarime District Council,Local government,,2730017536.34,Tanzania,TZA,2018,2017/07/01,2018/06/30
