Full company name,Payments to Governments Report,Country,Year
OKEA ASA,-3756094.0,Norway,2017
NORECO NORWAY AS,0.0,Norway,2018
OKEA ASA,-11390000.0,Norway,2018
OTHER COMPANIES - NON-RIGHTS HOLDERS,667520000.0,Norway,2019
"BENGUET CORP NICKEL MINES, INC.",24569767.68,Philippines,2018
CIMENTS DU SAHEL (CDS),18559251105.0,Senegal,2018
COMPAGNIE GÉNÉRALE D'EXPLOITATION DE CARRIÈRE (COGECA),4644238825.0,Senegal,2018
GRANDE CÔTE OPÉRATIONS (GCO),8007005014.0,Senegal,2018
INDUSTRIES CHIMIQUES DU SÉNÉGAL (ICS),483608338.0,Senegal,2018
LA SOCIÉTÉ DES MINES DE FER DU SÉNÉGAL ORIENTAL (MIFERSO),0.0,Senegal,2018
PETOWAL MINING COMPANY SA (PMC SA),3741277120.0,Senegal,2018
SABODALA GOLD OPERATIONS (SGO),16241489838.0,Senegal,2018
SABODALA MINING COMPANY (SMC),89490250.0,Senegal,2018
SEPHOS SENEGAL SA (SEPHOS SA),118862346.0,Senegal,2018
SOCIÉTÉ DES PÉTROLES DU SÉNÉGAL (PETROSEN),371034720.0,Senegal,2018
SOCIÉTÉ MINIÈRE DE LA VALLÉE DU FLEUVE SÉNÉGAL (SOMIVA),507328796.0,Senegal,2018
"SOCIÉTÉ POUR LE DÉVELOPPEMENT DE L'INDUSTRIE, DU TOURISME ET DE L'HABITAT AU SÉNÉGAL (SODEVIT)",1391236150.0,Senegal,2018
SOCIÉTÉ SÉNÉGALAISE DES PHOSPHATES DE THIÈS (SSPT),349326759.0,Senegal,2018
AGEM SÉNÉGAL EXPLORATION SUARL,49863087.0,Senegal,2019
BP SENEGAL INVESTMENTS LIMITED,637388188.0,Senegal,2019
DANGOTE INDUSTRIES SÉNÉGAL SA,13408102986.0,Senegal,2019
ORANTO PETROLEUM LIMITED,235670145.0,Senegal,2019
TOTAL E&P SENEGAL,6902218994.0,Senegal,2019
