index,company_name,composite_key,company_type,company_id,company_sector,company_commodities,company_public_listing_or_website,company_audited_financial statement_or_equivalent,Payments to Governments Report,Country2,ISO Code 2,Year2,Start Date 2,End Date 2
99_part3,SPENZAR MININING,SPENZAR MININING-Afghanistan-2018,Private,9000337528,Mining,,n/v,n/a,5,Afghanistan,AFG,2018,2017-12-21,2018-12-24
100_part3,SAMEER RELANCE MINING CO,SAMEER RELANCE MINING CO-Afghanistan-2018,Private,9001331439,Mining,,n/v,n/a,600,Afghanistan,AFG,2018,2017-12-21,2018-12-24
101_part3,MIR GROUP MINING CO,MIR GROUP MINING CO-Afghanistan-2018,Private,1015582016,Mining,,n/v,n/a,5915,Afghanistan,AFG,2018,2017-12-21,2018-12-24
102_part3,YASAMEEN MINING CO,YASAMEEN MINING CO-Afghanistan-2018,Private,9000647140,Other,,n/v,n/a,220936,Afghanistan,AFG,2018,2017-12-21,2018-12-24
103_part3,AFGHAN GOLD MINERAL CO,AFGHAN GOLD MINERAL CO-Afghanistan-2018,Private,9000300724,Other,,n/v,n/a,68760,Afghanistan,AFG,2018,2017-12-21,2018-12-24
104_part3,EMTIYAZ MINING CO,EMTIYAZ MINING CO-Afghanistan-2018,Private,9000304767,Mining,,n/v,n/a,6000,Afghanistan,AFG,2018,2017-12-21,2018-12-24
105_part3,QASEMI MINING CO,QASEMI MINING CO-Afghanistan-2018,Private,9000289620,Mining,,n/v,n/a,31291,Afghanistan,AFG,2018,2017-12-21,2018-12-24
106_part3,AGHA AHMADI MINERAL PRO CO,AGHA AHMADI MINERAL PRO CO-Afghanistan-2018,Private,9003329902,Mining,,n/v,n/a,200,Afghanistan,AFG,2018,2017-12-21,2018-12-24
107_part3,AFGHAN CRISTAL NATURAL RESOURCES,AFGHAN CRISTAL NATURAL RESOURCES-Afghanistan-2018,Private,1045784012,Mining,,n/v,n/a,49160,Afghanistan,AFG,2018,2017-12-21,2018-12-24
108_part3,BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY,BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY-Afghanistan-2018,Private,1009592088,Other,Talc,n/v,n/a,367503,Afghanistan,AFG,2018,2017-12-21,2018-12-24
109_part3,BGP,BGP-Afghanistan-2018,Private,9000599796,Mining,,n/v,n/a,89100,Afghanistan,AFG,2018,2017-12-21,2018-12-24
110_part3,HERAT SHAIDA COPPER EXPLORATION PROJECT,HERAT SHAIDA COPPER EXPLORATION PROJECT-Afghanistan-2018,Private,9001204305,Mining,Copper,n/v,n/a,15000,Afghanistan,AFG,2018,2017-12-21,2018-12-24
111_part3,JABALSARAJ CEMENT,JABALSARAJ CEMENT-Afghanistan-2018,State-owned enterprises & public corporations,9003212546,Mining,,n/v,n/a,746950,Afghanistan,AFG,2018,2017-12-21,2018-12-24
112_part3,KOD-E-BARQ BALK,KOD-E-BARQ BALK-Afghanistan-2018,State-owned enterprises & public corporations,n/a,Fertliser & power,,n/v,n/a,66873499,Afghanistan,AFG,2018,2017-12-21,2018-12-24
113_part3,JARNAILZADA TALC PRO.CO,JARNAILZADA TALC PRO.CO-Afghanistan-2018,Private,9004678760,Mining,,n/v,n/a,4650,Afghanistan,AFG,2018,2017-12-21,2018-12-24
114_part3,CHETA TALK MINING,CHETA TALK MINING-Afghanistan-2018,Private,9000140393,Mining,,n/v,n/a,1600,Afghanistan,AFG,2018,2017-12-21,2018-12-24
115_part3,HAJI MALANG KHOGYANI MINING CO,HAJI MALANG KHOGYANI MINING CO-Afghanistan-2018,Private,9000226291,Other,Coal,n/v,n/a,56770,Afghanistan,AFG,2018,2017-12-21,2018-12-24
116_part3,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,1013655012,Other,Talc,n/v,n/a,25459,Afghanistan,AFG,2018,2017-12-21,2018-12-24
117_part3,AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY-Afghanistan-2018,Private,1007815085,Other,Talc,n/v,n/a,76451,Afghanistan,AFG,2018,2017-12-21,2018-12-24
118_part3,"دوست محمد فرزند محمد شاه, دوست محمد","دوست محمد فرزند محمد شاه, دوست محمد-Afghanistan-2018",Private,9001104737,Other,Construction stone,n/v,n/a,74048,Afghanistan,AFG,2018,2017-12-21,2018-12-24
119_part3,SADAT GHAWS MINING CO,SADAT GHAWS MINING CO-Afghanistan-2018,Private,9000471640,Mining,,n/v,n/a,1600,Afghanistan,AFG,2018,2017-12-21,2018-12-24
