Full name of agency,Total reported,Country,Year
BIRIM NORTH ASSEMBLY,288082.0,Ghana,2019
BIRIM NORTH DISTRICT ASSEMBLY ASSEMBLY,0.0,Ghana,2019
ELLEMBELLE,34748.0,Ghana,2019
ENVIRONMENTAL PROTECTION AGENCY,2074062.5499999998,Ghana,2019
FORESTRY COMMISSION,3846221.0,Ghana,2019
GHANA NATIONAL PETROLEUM COMPANY,4272229.22,Ghana,2019
GHANA RAILWAY AUTHORITY,0.0,Ghana,2019
GHANA REVENUE AUTHORITY,1466764659.54,Ghana,2019
"METROPOLITAN, MUNICIPAL AND DISTRICT ASSEMBLIES",0.0,Ghana,2019
MINERALS COMMISSION,22983836.72,Ghana,2019
MINISTRY OF ENERGY,0.0,Ghana,2019
MINISTRY OF FINANCE,7436127.95,Ghana,2019
MINISTRY OF LANDS AND NATURAL RESOURCES,0.0,Ghana,2019
MPOHOR WASSA EAST,32936.0,Ghana,2019
OBUASI MUNICIPAL ASSEMBLY,96521.0,Ghana,2019
OFFICE OF THE ADMINISTRATOR OF STOOL LANDS,1934263.58,Ghana,2019
PETROLEUM COMMISSION,14216217.89,Ghana,2019
PRESTEA HUNI VALLEY,32501.0,Ghana,2019
PRESTEA HUNI VALLEY DISTRICT ASSEMBLY,0.0,Ghana,2019
SEFWI DISTRICT ASSEMBLY,10788.0,Ghana,2019
SEFWI WIASO DISTRICT ASSEMBLY,0.0,Ghana,2019
TARKWA NSUAEM,529573.0,Ghana,2019
TARKWA NSUAEM MUNICIPAL ASSEMBLY,0.0,Ghana,2019
UPPER DENKYIRA WEST DISTRICT ASSEMBLY,84712.0,Ghana,2019
WASSA AMENFI EAST MUNICIPAL ASSEMBLY,0.0,Ghana,2019
MINISTERIO DE AMBIENTE Y RECURSOS NATURALES (MARN),1256433.75,Guatemala,2017
MINISTERIO DE ENERGIA Y MINAS (MEM),228058363.73000002,Guatemala,2017
MINISTERIO DE FINANZAS PUBLICAS (MINFIN),40472231.93,Guatemala,2017
MUNICIPALIDADES,63301988.419999994,Guatemala,2017
SUPERINTENDENCIA DE ADMINISTRACIÓN TRIBUTARIA (SAT),149007097.6,Guatemala,2017
VICEPRESIDENCIA DE LA REPÚBLICA DE GUATEMALA,0.0,Guatemala,2017
ENVIRONMENTAL PROTECTION AGENCY (EPA),69432946.0,Guyana,2018
GUYANA GEOLOGY AND MINES COMMISSION (GGMC),1855963249.0,Guyana,2018
GUYANA GOLD BOARD (GGB),4542934862.0,Guyana,2018
GUYANA REVENUE AUTHORITY (GRA),3515590411.0,Guyana,2018
MINISTRY OF FINANCE (MOF),4277842911.0,Guyana,2018
NATIONAL INDUSTRIAL AND COMMERCIAL INVESTMENTS LTD (NICIL),0.0,Guyana,2018
NATIONAL INSURANCE SCHEME,0.0,Guyana,2018
BASRA OIL COMPANY,0.0,Iraq,2017
MIDLAND OIL COMPANY,0.0,Iraq,2017
MINISTRY OF FINANCE,60216435769.0,Iraq,2017
MINISTRY OF OIL,244925278.38,Iraq,2017
MISSAN OIL COMPANY,0.0,Iraq,2017
NORTH OIL COMPANY,0.0,Iraq,2017
OIL EXPLORATION COMPANY,0.0,Iraq,2017
STATE OIL MARKETING COMPANY,0.0,Iraq,2017
BASRA OIL COMPANY,378764805.0,Iraq,2018
KURDISTAN REGIONAL GOVERNMENT (KRG),7720297020.0,Iraq,2018
MIDLAND OIL COMPANY,72165821.0,Iraq,2018
MINISTRY OF FINANCE,84823310707.0,Iraq,2018
MINISTRY OF OIL,0.0,Iraq,2018
MISSAN OIL COMPANY,196912014.0,Iraq,2018
NORTH OIL COMPANY,266180203.0,Iraq,2018
STATE OIL MARKETING COMPANY (SOMO),0.0,Iraq,2018
THI QAR OIL COMPANY,70896785.0,Iraq,2018
ENVIRONMENTAL PROTECTION AUTHORITY - EPA,614553.0,Liberia,2018
LIBERIA CIVIL AVIATION AUTHORITY -LCAA,8680.0,Liberia,2018
LIBERIA REVENUE AUTHORITY -LRA,32737656.0,Liberia,2018
NATIONAL OIL COMPANY OF LIBERIA -NOCAL,375000.0,Liberia,2018
NATIONAL PORT AUTHORITY -NPA,1987696.0,Liberia,2018
ENVIRONMENTAL PROTECTION AUTHORITY (EPA),293977.0,Liberia,2019
LIBERIA CIVIL AVIATION AUTHORITY (LCAA),11200.0,Liberia,2019
LIBERIA REVENUE AUTHORITY (LRA),36471384.29,Liberia,2019
NATIONAL OIL COMPANY OF LIBERIA (NOCAL),0.0,Liberia,2019
NATIONAL PORT AUTHORITY (NPA),2354880.13,Liberia,2019
ADMINISTRATION DES DOMAINES,2190570403.03,Madagascar,2017
AUTRES,12293554466.109999,Madagascar,2017
BUREAU DU CADASTRE MINIER DE MADAGASCAR,13259282605.0,Madagascar,2017
CAISSE NATIONALE DE PRÉVOYANCE SOCIALE,8770350420.42,Madagascar,2017
COLLECTIVITÉS TERRITORIALES DÉCENTRALISÉES (RÉGIONS ET/OU COMMUNES),624845134.56,Madagascar,2017
DIRECTION GÉNÉRALE DES DOUANES,30015589071.5,Madagascar,2017
DIRECTION GÉNÉRALE DES IMPÔTS,65553558864.85999,Madagascar,2017
DIRECTION GÉNÉRALE DES MINES,6609535107.4,Madagascar,2017
OFFICE DES MINES NATIONALES ET DES INDUSTRIES STRATÉGIQUES,2303886291.63,Madagascar,2017
OFFICE NATIONALE POUR L'ENVIRONNEMENT,282766719.0,Madagascar,2017
PORT: SOCIÉTÉ DE MANUTENTION DES MARCHANDISES CONVENTIONNELS ET/OU MADAGASCAR INTERNATIONAL CONTAINER TERMINAL SERVICES LIMITED,467558978.0,Madagascar,2017
SOCIÉTÉ DU PORT À GESTION AUTONOME DE TOAMASINA,6633466877.23,Madagascar,2017
ADMINISTRATION DES DOMAINES,1966405526.34,Madagascar,2018
AUTRES,13512241255.82,Madagascar,2018
BUREAU DU CADASTRE MINIER DE MADAGASCAR,11003086546.0,Madagascar,2018
CAISSE NATIONALE DE PRÉVOYANCE SOCIALE,8972278660.8,Madagascar,2018
COLLECTIVITÉS TERRITORIALES DÉCENTRALISÉES (RÉGIONS ET/OU COMMUNES),97059482.81,Madagascar,2018
DIRECTION GÉNÉRALE DES DOUANES,34278602831.0,Madagascar,2018
DIRECTION GÉNÉRALE DES IMPÔTS,83326626033.19,Madagascar,2018
DIRECTION GÉNÉRALE DES MINES,70836852526.72,Madagascar,2018
OFFICE DES MINES NATIONALES ET DES INDUSTRIES STRATÉGIQUES,3116838286.2,Madagascar,2018
OFFICE NATIONALE POUR L'ENVIRONNEMENT,470473460.0,Madagascar,2018
PORT: SOCIÉTÉ DE MANUTENTION DES MARCHANDISES CONVENTIONNELS ET/OU MADAGASCAR INTERNATIONAL CONTAINER TERMINAL SERVICES LIMITED,315832260.0,Madagascar,2018
SOCIÉTÉ DU PORT À GESTION AUTONOME DE TOAMASINA,7404793879.66,Madagascar,2018
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),450446000.0,Mali,2017
