Full company name,Payments to Governments Report,Country,Year
نصب ومنتاژیک دستگاه ریگریشن محمد سمیع MOHAMMAD SAMI REGRATION INSTALLMENT PLANT,1000.0,Afghanistan,2018
"نصرالله فرزند اول الدین, نصرالله",74263.0,Afghanistan,2018
"نقیب الله فرزند محمد نبی, نقیب الله فرزند محمد نبی",93557.0,Afghanistan,2018
پروژه انتقال پایپ لاین گاز تاپی TAPI GAS TRANSMISSION PIPELINE PROJECT,25000.0,Afghanistan,2018
پروژه اکتشاف مس شیدای هرات HERAT SHAIDA COPPER EXPLORATION PROJECT,15000.0,Afghanistan,2018
چینا تالک مایننگ CHETA TALK MINING,1600.0,Afghanistan,2018
گاز مایع آریانا افغان لمتد ARYANA AFGHAN LIQUID GAS LTD,47398.0,Afghanistan,2018
گروپ استخراج معادن شکران افغان لمتید SHOKRAN AFGHAN MINING LTD,1895.0,Afghanistan,2018
AAZAM KHAN WAFA SHERZAD LIMITED,164759.0,Afghanistan,2019
ABBAS GHAZNAVI LIMITED,19008124.0,Afghanistan,2019
ABDUL FATAH,200488.0,Afghanistan,2019
ABDUL RAHMAN BABA STEEL & IRON COMPANY,2433958.0,Afghanistan,2019
ABID HASSAN ZADRAN LIMITED,5832314.0,Afghanistan,2019
ABUBAKAR BURHAN LIMITED,10392680.0,Afghanistan,2019
AFGHAN GAS ENTERPRISE,62507770.0,Afghanistan,2019
AFGHAN SHININK MINES EXTRACTION AND PROCESSING COMPANY,1757820.0,Afghanistan,2019
AHMAD ABU SULAIMAN,30000.0,Afghanistan,2019
AHMAD RAFI ORAAZ LIMITED,6750275.0,Afghanistan,2019
AHMAD SHAH MAIDANWALL CO,30000.0,Afghanistan,2019
AHMAD SHAH TALC EXTRACTION AND PROCESSING,247561.0,Afghanistan,2019
AHMAD WALI KALIWAL TRADING COMPANY,6737139.0,Afghanistan,2019
ALI MURADI AND IMRAN BAKHTYARI LIMITED,167548.0,Afghanistan,2019
AMANIA MINING,4889953.0,Afghanistan,2019
AMANIA MINING COMPANY,17858825.0,Afghanistan,2019
AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,8882827.0,Afghanistan,2019
ANSARIZADA LIMITED,3284032.0,Afghanistan,2019
ANWAR ALI AFGHAN ZADRAN LIMITED,7162180.0,Afghanistan,2019
ARIF SHAHAB LIMITED,1765249.0,Afghanistan,2019
ARIF WAQAR LIMITED,655340.0,Afghanistan,2019
AZIMI BROTHERS GROUP OF CO,430.0,Afghanistan,2019
