Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
Esso Exploration & Production Guyana Ltd,Environmental Protection Agency (EPA),Environmental Permit fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Guyana Geology and Mines Commission (GGMC),Annual Licence Rental Charge,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Guyana Geology and Mines Commission (GGMC),Annual Training Fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Guyana Geology and Mines Commission (GGMC),Annual assignment Fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Guyana Revenue Authority (GRA),Customs duty,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Guyana Revenue Authority (GRA),Excise Tax,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Guyana Revenue Authority (GRA),"Other material payment flows > GYD 1,000,000 (GRA)",No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Guyana Revenue Authority (GRA),Stamp Duty (collected by customs),No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Esso Exploration & Production Guyana Ltd,Guyana Revenue Authority (GRA),Value Added Tax,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Excel Minerals,Guyana Geology and Mines Commission (GGMC),Licence fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Excel Minerals,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
