Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
P1830,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P185,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1854,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P188,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1891,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P19,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1909,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1914,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P193,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1964,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1965,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1970,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1985,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1986,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P199,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P20,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P201,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P202,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P203,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P204,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P205,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P2070,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
